Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoShow5 (FR-1),0,16761,1369021,8661,812896,8100,556125
EchoShow5 (FR-1),3600,16791,1392344,8643,815505,8148,576839
EchoShow5 (FR-1),7200,16677,1360339,8601,811373,8076,548966
EchoShow5 (FR-1),10800,16704,1379083,8604,810468,8100,568615
EchoShow5 (FR-1),14400,16582,1357932,8542,811258,8040,546674
EchoShow5 (FR-1),18000,16618,1368606,8555,807102,8063,561504
EchoShow5 (FR-1),21600,16561,1349853,8508,804321,8053,545532
EchoShow5 (FR-1),25200,16672,1374268,8558,808692,8114,565576
EchoShow5 (FR-1),28800,16624,1354399,8544,803128,8080,551271
EchoShow5 (FR-1),32400,16849,1400495,8685,819196,8164,581299
EchoShow5 (FR-1),36000,16595,1350116,8551,808420,8044,541696
EchoShow5 (FR-1),39600,16691,1375823,8591,808510,8100,567313
EchoShow5 (FR-1),43200,16671,1360653,8575,809667,8096,550986
EchoShow5 (FR-1),46800,16832,1392881,8702,821202,8130,571679
EchoShow5 (FR-1),50400,16703,1360452,8592,806618,8111,553834
EchoShow5 (FR-1),54000,16801,1391784,8639,818674,8162,573110
EchoShow5 (FR-1),57600,16682,1357239,8595,807933,8087,549306
EchoShow5 (FR-1),61200,16738,1382735,8601,808668,8137,574067
EchoShow5 (FR-1),64800,16617,1356905,8533,807773,8084,549132
EchoShow5 (FR-1),68400,16640,1368476,8538,804967,8102,563509
EchoShow5 (FR-1),72000,16593,1350226,8511,803581,8082,546645
EchoShow5 (FR-1),75600,16737,1384720,8603,811463,8134,573257
EchoShow5 (FR-1),79200,16517,1340217,8485,800295,8032,539922
EchoShow5 (FR-1),82800,16738,1392080,8610,813255,8128,578825
EchoShow5 (FR-1),86400,16633,1356457,8547,806383,8086,550074
EchoShow5 (FR-1),90000,16688,1373423,8596,810128,8092,563295
EchoShow5 (FR-1),93600,16571,1355923,8526,809340,8045,546583
EchoShow5 (FR-1),97200,16684,1376234,8576,807992,8108,568242
EchoShow5 (FR-1),100800,16550,1348241,8527,804629,8023,543612
EchoShow5 (FR-1),104400,16714,1395009,8591,812655,8123,582354
EchoShow5 (FR-1),108000,16530,1347422,8499,804653,8031,542769
EchoShow5 (FR-1),111600,16680,1379883,8557,809424,8123,570459
EchoShow5 (FR-1),115200,16611,1357799,8565,810288,8046,547511
EchoShow5 (FR-1),118800,16660,1376037,8558,806787,8102,569250
EchoShow5 (FR-1),122400,16543,1354606,8500,807034,8043,547572
EchoShow5 (FR-1),126000,16667,1373613,8565,808343,8102,565270
EchoShow5 (FR-1),129600,16653,1360171,8558,808197,8095,551974
EchoShow5 (FR-1),133200,16694,1377310,8565,809553,8129,567757
EchoShow5 (FR-1),136800,16722,1368857,8600,811000,8122,557857
EchoShow5 (FR-1),140400,16705,1377905,8572,809981,8133,567924
EchoShow5 (FR-1),144000,16578,1345182,8522,802950,8056,542232
EchoShow5 (FR-1),147600,16687,1383033,8567,809856,8120,573177
EchoShow5 (FR-1),151200,16612,1359206,8558,809631,8054,549575
EchoShow5 (FR-1),154800,16823,1394319,8694,818845,8129,575474
EchoShow5 (FR-1),158400,16705,1374666,8595,814114,8110,560552
EchoShow5 (FR-1),162000,16693,1380691,8581,808923,8112,571768
EchoShow5 (FR-1),165600,16530,1342097,8492,800498,8038,541599
EchoShow5 (FR-1),169200,16701,1388148,8586,810853,8115,577295
EchoShow5 (FR-1),172800,16608,1359491,8536,808023,8072,551468
EchoShow5 (FR-1),176400,16614,1368583,8535,805482,8079,563101
EchoShow5 (FR-1),180000,16833,1386154,8724,826430,8109,559724
EchoShow5 (FR-1),183600,16686,1378734,8578,808601,8108,570133
EchoShow5 (FR-1),187200,16656,1368159,8556,810800,8100,557359
EchoShow5 (FR-1),190800,16699,1380814,8577,807031,8122,573783
EchoShow5 (FR-1),194400,16719,1367022,8610,812849,8109,554173
EchoShow5 (FR-1),198000,16771,1387520,8638,816869,8133,570651
EchoShow5 (FR-1),201600,16676,1362896,8612,812288,8064,550608
