Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
SonyTV (FR),0,1139,299750,837,203861,302,95889,504,125300,504,125300,0,0,635,174450,333,78561,302,95889
SonyTV (FR),1800,1087,270712,805,202307,282,68405,523,134242,523,134242,0,0,564,136470,282,68065,282,68405
SonyTV (FR),3600,909,248899,661,164550,248,84349,387,98270,387,98270,0,0,522,150629,274,66280,248,84349
SonyTV (FR),5400,949,243916,657,188677,292,55239,434,127796,404,125332,30,2464,515,116120,253,63345,262,52775
SonyTV (FR),7200,1228,319285,912,250317,316,68968,591,144166,591,144166,0,0,637,175119,321,106151,316,68968
SonyTV (FR),9000,973,259286,715,181729,258,77557,420,105110,420,105110,0,0,553,154176,295,76619,258,77557
SonyTV (FR),10800,1065,257457,795,192707,270,64750,513,127138,513,127138,0,0,552,130319,282,65569,270,64750
SonyTV (FR),12600,950,248196,694,196655,256,51541,492,141234,462,138770,30,2464,458,106962,232,57885,226,49077
SonyTV (FR),14400,859,211151,616,155198,243,55953,373,96808,373,96808,0,0,486,114343,243,58390,243,55953
SonyTV (FR),16200,1374,757615,1054,216249,320,541366,568,141964,568,141964,0,0,806,615651,486,74285,320,541366
SonyTV (FR),18000,1079,268924,808,194160,271,74764,517,127966,517,127966,0,0,562,140958,291,66194,271,74764
SonyTV (FR),19800,1026,287757,747,205741,279,82016,506,142556,476,140092,30,2464,520,145201,271,65649,249,79552
SonyTV (FR),21600,1210,549868,792,207523,418,342345,334,88116,334,88116,0,0,876,461752,458,119407,418,342345
SonyTV (FR),23400,812,210457,589,153213,223,57244,348,93696,348,93696,0,0,464,116761,241,59517,223,57244
SonyTV (FR),25200,1072,289181,716,174873,356,114308,331,91710,331,91710,0,0,741,197471,385,83163,356,114308
SonyTV (FR),27000,2229,2434630,1426,380379,803,2054251,399,123522,369,121058,30,2464,1830,2311108,1057,259321,773,2051787
SonyTV (FR),28800,808,198055,536,133140,272,64915,266,76238,266,76238,0,0,542,121817,270,56902,272,64915
SonyTV (FR),30600,891,210915,640,154282,251,56633,391,100674,391,100674,0,0,500,110241,249,53608,251,56633
SonyTV (FR),32400,963,230240,723,170700,240,59540,477,116970,477,116970,0,0,486,113270,246,53730,240,59540
SonyTV (FR),34200,1341,403534,978,259673,363,143861,647,178274,617,175810,30,2464,694,225260,361,83863,333,141397
SonyTV (FR),36000,898,226561,635,168546,263,58015,370,93050,370,93050,0,0,528,133511,265,75496,263,58015
SonyTV (FR),37800,889,216801,653,163575,236,53226,405,102976,405,102976,0,0,484,113825,248,60599,236,53226
SonyTV (FR),39600,1254,736905,845,173277,409,563628,275,73710,275,73710,0,0,979,663195,570,99567,409,563628
SonyTV (FR),41400,1581,560008,1093,263906,488,296102,592,154575,577,153343,15,1232,989,405433,516,110563,473,294870
SonyTV (FR),43200,873,212873,600,159590,273,53283,368,102771,353,101539,15,1232,505,110102,247,58051,258,52051
SonyTV (FR),45000,752,185006,490,118387,262,66619,216,60456,216,60456,0,0,536,124550,274,57931,262,66619
SonyTV (FR),46800,1135,272707,911,215924,224,56783,675,163000,675,163000,0,0,460,109707,236,52924,224,56783
SonyTV (FR),48600,1404,392265,997,257729,407,134536,601,154837,586,153605,15,1232,803,237428,411,104124,392,133304
SonyTV (FR),50400,1029,249081,767,200118,262,48963,528,138751,513,137519,15,1232,501,110330,254,62599,247,47731
SonyTV (FR),52200,888,238661,583,172285,305,66376,288,79936,288,79936,0,0,600,158725,295,92349,305,66376
SonyTV (FR),54000,1021,263809,698,188562,323,75247,373,101254,373,101254,0,0,648,162555,325,87308,323,75247
SonyTV (FR),55800,1596,681274,1127,379052,469,302222,587,161368,557,158904,30,2464,1009,519906,570,220148,439,299758
SonyTV (FR),57600,937,221927,697,172761,240,49166,454,114208,454,114208,0,0,483,107719,243,58553,240,49166
SonyTV (FR),59400,786,204637,546,145533,240,59104,296,82586,296,82586,0,0,490,122051,250,62947,240,59104
SonyTV (FR),61200,890,253049,611,146702,279,106347,329,86278,329,86278,0,0,561,166771,282,60424,279,106347
SonyTV (FR),63000,1293,781529,875,198706,418,582823,363,112298,333,109834,30,2464,930,669231,542,88872,388,580359
SonyTV (FR),64800,1323,533499,775,233639,548,299860,177,52390,177,52390,0,0,1146,481109,598,181249,548,299860
SonyTV (FR),66600,744,168884,497,118534,247,50350,255,69912,255,69912,0,0,489,98972,242,48622,247,50350
SonyTV (FR),68400,701,170190,457,111166,244,59024,209,57516,209,57516,0,0,492,112674,248,53650,244,59024
SonyTV (FR),70200,955,320742,609,187452,346,133290,303,98406,273,95942,30,2464,652,222336,336,91510,316,130826
SonyTV (FR),72000,622,153066,416,106727,206,46339,192,55346,192,55346,0,0,430,97720,224,51381,206,46339
SonyTV (FR),73800,636,144419,397,95452,239,48967,165,46514,165,46514,0,0,471,97905,232,48938,239,48967
SonyTV (FR),75600,847,206838,622,150881,225,55957,382,97802,382,97802,0,0,465,109036,240,53079,225,55957
SonyTV (FR),77400,880,258951,570,170734,310,88217,305,99288,275,96824,30,2464,575,159663,295,73910,280,85753
SonyTV (FR),79200,848,223970,591,157623,257,66347,322,84550,322,84550,0,0,526,139420,269,73073,257,66347
SonyTV (FR),81000,721,202030,439,141961,282,60069,159,52386,159,52386,0,0,562,149644,280,89575,282,60069
SonyTV (FR),82800,1685,1076893,1112,198822,573,878071,324,83144,324,83144,0,0,1361,993749,788,115678,573,878071
SonyTV (FR),84600,1450,608365,958,271654,492,336711,436,132158,406,129694,30,2464,1014,476207,552,141960,462,334247
SonyTV (FR),86400,2292,2318574,1458,358133,834,1960441,278,78414,278,78414,0,0,2014,2240160,1180,279719,834,1960441
SonyTV (FR),88200,753,193594,509,136132,244,57462,247,66858,247,66858,0,0,506,126736,262,69274,244,57462
SonyTV (FR),90000,1016,246724,800,193184,216,53540,571,140956,571,140956,0,0,445,105768,229,52228,216,53540
SonyTV (FR),91800,1029,293988,736,209863,293,84125,488,142184,458,139720,30,2464,541,151804,278,70143,263,81661
SonyTV (FR),93600,914,239914,682,186638,232,53276,439,110106,439,110106,0,0,475,129808,243,76532,232,53276
SonyTV (FR),95400,738,188437,514,139253,224,49184,273,76296,273,76296,0,0,465,112141,241,62957,224,49184
SonyTV (FR),97200,710,165366,520,122909,190,42457,320,81660,320,81660,0,0,390,83706,200,41249,190,42457
SonyTV (FR),99000,924,252521,655,195801,269,56720,432,132074,402,129610,30,2464,492,120447,253,66191,239,54256
SonyTV (FR),100800,1077,254902,868,208525,209,46377,648,157412,648,157412,0,0,429,97490,220,51113,209,46377
SonyTV (FR),102600,869,226281,599,154736,270,71545,308,81480,308,81480,0,0,561,144801,291,73256,270,71545
SonyTV (FR),104400,1323,738957,974,193287,349,545670,469,117224,469,117224,0,0,854,621733,505,76063,349,545670
SonyTV (FR),106200,1014,264889,741,204893,273,59996,519,147142,489,144678,30,2464,495,117747,252,60215,243,57532
SonyTV (FR),108000,899,288048,576,176590,323,111458,217,62186,217,62186,0,0,682,225862,359,114404,323,111458
SonyTV (FR),109800,773,209752,514,144892,259,64860,250,71294,250,71294,0,0,523,138458,264,73598,259,64860
SonyTV (FR),111600,1015,267919,706,167779,309,100140,364,92840,364,92840,0,0,651,175079,342,74939,309,100140
SonyTV (FR),113400,962,274209,614,177378,348,96831,318,101400,288,98936,30,2464,644,172809,326,78442,318,94367
SonyTV (FR),115200,2201,2297249,1426,365263,775,1931986,414,103560,414,103560,0,0,1787,2193689,1012,261703,775,1931986
SonyTV (FR),117000,878,212063,638,162825,240,49238,396,99652,396,99652,0,0,482,112411,242,63173,240,49238
SonyTV (FR),118800,867,213175,652,161257,215,51918,425,108642,425,108642,0,0,442,104533,227,52615,215,51918
SonyTV (FR),120600,892,269937,593,168750,299,101187,341,105584,311,103120,30,2464,551,164353,282,65630,269,98723
SonyTV (FR),122400,1150,730804,768,152983,382,577821,226,64436,226,64436,0,0,924,666368,542,88547,382,577821
SonyTV (FR),124200,777,195749,546,152356,231,43393,312,83484,312,83484,0,0,465,112265,234,68872,231,43393
SonyTV (FR),126000,1169,311789,886,211128,283,100661,559,138976,559,138976,0,0,610,172813,327,72152,283,100661
SonyTV (FR),127800,1308,507466,859,244203,449,263263,434,131078,404,128614,30,2464,874,376388,455,115589,419,260799
SonyTV (FR),129600,676,161210,477,122189,199,39021,272,74992,272,74992,0,0,404,86218,205,47197,199,39021
SonyTV (FR),131400,936,239814,690,177310,246,62504,433,115536,433,115536,0,0,503,124278,257,61774,246,62504
SonyTV (FR),133200,731,178582,519,126936,212,51646,288,74680,288,74680,0,0,443,103902,231,52256,212,51646
SonyTV (FR),135000,834,222117,591,171643,243,50474,390,119770,360,117306,30,2464,444,102347,231,54337,213,48010
SonyTV (FR),136800,809,227611,576,151164,233,76447,316,86396,316,86396,0,0,493,141215,260,64768,233,76447
SonyTV (FR),138600,873,223433,647,175562,226,47871,416,108722,416,108722,0,0,457,114711,231,66840,226,47871
SonyTV (FR),140400,631,153345,417,104180,214,49165,188,53440,188,53440,0,0,443,99905,229,50740,214,49165
SonyTV (FR),142200,1428,839166,1015,267502,413,571664,556,163978,526,161514,30,2464,872,675188,489,105988,383,569200
SonyTV (FR),144000,884,218283,659,164477,225,53806,423,110280,423,110280,0,0,461,108003,236,54197,225,53806
SonyTV (FR),145800,1049,527621,653,253158,396,274463,177,53104,177,53104,0,0,872,474517,476,200054,396,274463
SonyTV (FR),147600,790,200942,574,149002,216,51940,343,93190,343,93190,0,0,447,107752,231,55812,216,51940
SonyTV (FR),149400,891,243339,642,191615,249,51724,437,133212,407,130748,30,2464,454,110127,235,60867,219,49260
SonyTV (FR),151200,1540,634656,1042,292461,498,342195,467,121688,467,121688,0,0,1073,512968,575,170773,498,342195
SonyTV (FR),153000,887,218333,613,161586,274,56747,340,90236,340,90236,0,0,547,128097,273,71350,274,56747
SonyTV (FR),154800,1337,319569,1118,266222,219,53347,887,213880,887,213880,0,0,450,105689,231,52342,219,53347
SonyTV (FR),156600,1173,360247,865,237753,308,122494,606,165240,576,162776,30,2464,567,195007,289,74977,278,120030
SonyTV (FR),158400,787,196341,586,151910,201,44431,369,93852,369,93852,0,0,418,102489,217,58058,201,44431
